便塊除去	摘便
アルツハイマ-認知症	アルツハイマー型認知症
熱傷（背部）	背部熱傷、程度不明（部位を限定しない）
2015.8.12骨盤-その他-前立腺癌	前立腺癌
口のにがみ	苦味
軽度呼吸困難感	呼吸困難
両足関節偽痛風	偽痛風
内痔核出血	痔出血
背部皮脂欠乏性湿疹	皮脂欠乏性湿疹
左側頭葉出血	脳出血
肩凝症	肩こり
がん性疼痛	癌疼痛
脊髄管狭搾症	脊柱管狭窄症
口唇ヘルペスの悪化	口唇ヘルペス
死亡（腎細胞癌の増悪）	腎細胞癌
口が苦い	苦味
肝癌	肝癌
好中球↓	好中球数減少
第３指切傷	指の損傷ＮＯＳ
急性虫垂炎（１４才時手術）	急性虫垂炎
膀胱からの出血	膀胱出血
リンパ郭清	リンパ節郭清
閉塞性大動脈硬化症	閉塞性動脈硬化症
喀痰による閉塞	無し
心戻細動	心房細動
肺結亥	肺結核
くり返すシャント血栓症	シャント血栓症
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【ｉｎｔａｃｔＰＴＨ上昇】	ＰＴＨ増加
プラザキサによる腎機能悪化疑い	腎機能悪化
慢性血栓塞栓性肺高血圧症の増悪	慢性血栓塞栓性肺高血圧症
下肢浮腫（両足）	足部浮腫
心房頻拍	心房頻脈
頚部出血（頚部リンパ節からの出血。頚部リンパ節は記載あり）	リンパ節出血
両側総腸骨動脈瘤術後	腸骨動脈瘤
急性肺炎（重篤）	急性肺炎
永久ペースメーカー挿入	恒久的心臓ペースメーカー植込み
７２歳腹部大動脈瘤術後	大動脈瘤修復
ＨＤＬコレステロールの上昇	ＨＤＬコレステロール増加
薬物性紅皮症	紅皮症様薬疹
左眼底出血	眼底出血
手足皮膚症状【手足皮膚反応】	手足皮膚反応
僧帽弁逆流閉鎖不全	僧帽弁閉鎖不全症
手・足症候群	手足症候群
右甲状腺腺腫悪化	甲状腺腺腫
慢性多発性関節リウマチ	関節リウマチ
手足皮膚痛	皮膚疼痛
右足爪白癬症	爪白癬
右肘打撲	肘の挫傷
細菌性眼内炎（右眼）	感染性眼内炎
左後頭葉脳梗塞	脳梗塞
右正中神経損傷	正中神経損傷
異石灰化腫瘤【腫瘍状石灰沈着症】	腫瘍状石灰沈着症
左横静脈洞血栓症	横静脈洞血栓症
右陰嚢水腫	陰嚢水瘤
下壁誘導におけるST上昇	ＳＴ上昇
心弁置換手術	心臓弁置換
腹水増悪	腹水
HOTFLASH	ほてり
冠動脈スパズム	冠動脈攣縮
胆石症術後	胆石摘出
母趾圧痛	足指痛
突発性腹痛	腹痛
慢性蕁麻疹（全身）	慢性蕁麻疹
黒色液体の嘔吐	暗色吐物
消化管症状	胃腸症状ＮＯＳ
頭部挫創	挫創
重症呼吸不全	呼吸不全
２５才腸閉塞手術	腸閉塞
心内血栓（一過性）	心臓内血栓
左前腕の重圧感	四肢重感
聴力（聴力低下）	聴力低下
穿刺部出血	穿刺部位出血
CLASSSIC CNV	脈絡膜血管新生
ＡＳＤ（心房中隔欠損症）	心房中隔欠損症
平成１２年１１月７日ゆ着はく離術腸管、大網、左卵巣子宮内膜症性のう胞のゆ着	卵巣子宮内膜症
胃粘膜のヒダ状白色肥厚	胃粘膜ひだ肥厚
壊死性リンパ節炎	無し
近視性脈絡膜新生血管	近視性脈絡膜血管新生
鼻出血 発現日不明	鼻出血
下肢ＤＶＴ	下肢深部静脈血栓症
右腎出血性のう胞うたがい	腎嚢胞出血
幼少時に下痢で入院その時輸血を受ける	下痢
左足がだるい	筋肉疲労
咽頭が苦しい	咽頭絞扼感
手の甲の腫脹	手の腫脹
睾丸腫瘍	精巣新生物
イライラしやすい	易刺激性
足痛	足部痛
消化管出血疑い	消化管出血
左第４指痛	手指痛
左人工骨頭置換術後	骨手術
右下腿皮下血腫	皮下血腫
耐糖能悪化	耐糖能障害
喉のかわき	咽頭乾燥
慢性肝炎（軽度、肝硬変は無い）	慢性肝炎
ＰｏｒｔａｌＨｙｐｅｒｔｅｎｓｉｖｅＧａｓｔｒｏｐａｔｈｙ	門脈圧亢進性胃障害
肝臓Γ線療法	肝臓γ線療法
甲状腺悪性リンパ腫	悪性リンパ腫
蓄膿症手術（２５才）（副鼻腔炎）	副鼻腔炎
グルコース耐性境界型	耐糖能境界型
陰部の不快感	性器不快感
死亡（敗血症）	敗血症
月経の出血量が少ない	過少月経
超急性期脳梗塞	脳梗塞
早期慢性関節リウマチ	関節リウマチ
閃輝性硝子体融解	閃輝性融解
月経が多い	月経過多
熱傷（右第Ⅱ～第Ⅳ指）	母指を除く、２指以上に及ぶ熱傷、程度不明
MALIGNANT MIXED GERM CELL TUMOR	悪性新生物
横行結腸がん	横行結腸癌
心臓-その他(心尖部肥大型心筋症)	肥大型心筋症
全身掻痒症	全身性そう痒症
ＴＧ異常値	トリグリセリド異常
弾撥指（術後）	弾発指解離
噴門癌	噴門の悪性新生物
下腹部痛の増悪（月経時）	月経痛
ＩＮＲ短縮	ＩＮＲ減少
下痢症状	下痢
大腸ポリープ癌術後	大腸癌
続発性後天性低Γグロブリン血症	続発性後天性低γグロブリン血症
舌にウイルス	口腔ウイルス感染
乳腺症（右）	乳腺症
腫瘍からの出血	腫瘍出血
下腿浮腫の増悪	下肢浮腫
高血圧（未治療）	高血圧
目眩	めまい感
尿が白っぽくなった	尿変色
開腹原発巣切除	癌切除
２００３年８月非機能性膵内分泌腫瘍	膵神経内分泌腫瘍
肋骨骨折（左）	肋骨骨折
ＤＭＮ	無し
頸部リンパ節摘出術	リンパ節切除
発赤頭、顔面	皮膚発赤
漿液性網膜色素上皮剥離	網膜色素上皮の漿液性剥離
ＰＢＣ（原発性胆汁性肝硬変症）	原発性胆汁性肝硬変
抗ＨＢＳ抗体陽性	抗ＨＢｓ抗体陽性
腹腔内・縦隔リンパ節転移	リンパ節転移
賢炎	腎炎
両側乳腺症	乳腺症
目の充血	眼充血
包皮のかぶれ	接触皮膚炎
左第二指爪剥離	爪破損
子宮収縮増強	子宮筋収縮亢進
大網ゆ着はく離術	腹膜癒着部切離術
排尿時痛	排尿痛
虫垂切除（１７歳時）	虫垂切除
かゆみ	そう痒
左鎖骨遠位端骨折	鎖骨骨折
頸髄中心性損傷	頚椎部脊髄損傷
右変形性股関節の手術	変形性股関節症
随伴疾患進行ＮＯＳ	随伴疾患進行
子宮筋腫（手術）	筋腫核出術
HCC(肝切除）	肝細胞癌
ＨａｎｄＦｏｏｔ症候群	手足症候群
角膜下出血	角膜出血
起立性調整障害（めまい、ふらつき）	浮動性めまい
発熱（細菌感染症疑い）	無し
透析困難症	無し
便秘ぎみ	便秘
血圧上昇（ＤＢＰ）	拡張期血圧上昇
体の痛み	全身性疼痛
２６才胃潰瘍	胃潰瘍
血清ＴＰ高値	総蛋白高値
冠状動脈炎	冠動脈炎
ブルトン型無ガンマグロブリン血症	ブルトン型無γグロブリン血症
喉の腫れ	咽喉腫脹
ふくらはぎに痛み	ふくらはぎ痛
顔面裂傷、打撲【顔面打撲】	顔の挫傷
・高血圧	高血圧
勃起障害	男性勃起不全
眼瞼異常	眼瞼障害
ＬＤＬコレステロール上昇	ＬＤＬコレステロール増加
気管支喘息増悪	喘息増悪
右腕筋肉痛	局所筋肉痛
内臓逆位	内臓逆位症
乳癌術後	乳癌
打撲症【右顔面および左大腿部】	挫傷
脳卒中，Ｔｙｐｅ：心原性	血栓性脳卒中
出血下血	メレナ
高し血症	高脂血症
吐血（コーヒー残渣様吐血）	コーヒー残渣様吐物
左膝偽痛風	偽痛風
頭頸部-その他(異常なし)	無し
肝障害、肝不全	無し
手先のしびれ右第１指，２指	手指のしびれ感
上半身打撲	挫傷
ヘリコバクターピロリ菌感染症	ヘリコバクター・ピロリ感染
右肺葉間水腫	肺水腫
原発不明癌再発なし	癌
子宮内膜症３４才	子宮内膜症
変形性股関節症手術	変形性股関節症
陰性T（側壁）	陰性Ｔ波
放射線性肺炎	放射線性肺臓炎
大腸炎の疑い	大腸炎
糖尿病（１９９４年）	糖尿病
右下肢静脈血栓	下肢静脈血栓
右拇指切創	指の損傷ＮＯＳ
左眼の視野異常	視野欠損
大腸ポリープ（腺腫）平成１９年２月２６日内視鏡的切除	大腸ポリープ切除
左趾陥入爪の悪化	嵌入爪
緑内症	緑内障
感冒（微熱、鼻汁、咽頭痛）【感冒】	感冒
喉頭違和感	喉頭不快感
不安症	不安
甲状腺機能低下症、治療中、チラーヂン２コ	甲状腺機能低下症
過長月経＋不正出血	無し
皮下出血が気になる	皮下出血
足底部硬化	皮膚硬結
二次性副甲状腺機能亢進症増悪	続発性副甲状腺機能亢進症
結腸憩室出血	出血性結腸憩室
指先の痛み	手指痛
胃が重い	胃重感
抹消神経障害	末梢性ニューロパチー
胃炎の予防	胃炎予防
チョコレートのう腫手術（卵巣チョコレート嚢胞）	卵巣チョコレート嚢胞
去痰【痰】	痰
頭重感,頭痛	頭痛
左痙性麻痺	左側麻痺
消火器症状（胸焼け）	胸やけ
ＡＳＴ異常【上昇】	ＡＳＴ増加
左心室性拡張障害	左室機能不全
骨盤-その他-結腸直腸癌	結腸直腸癌
低リンパ球症	リンパ球数低値
詳細不明のＡＥ	有害事象ＮＯＳ
術後グラフト閉塞	移植血管閉塞
右眼瞼皮膚炎の再発	眼瞼皮膚炎
腹部大動脈閉塞（レリッシュ症候群）	ルリーシュ症候群
骨盤内膿瘍	骨盤膿瘍
陰部のかゆみ	陰部そう痒
高血圧心疾患	高血圧性心疾患
低Ｔ３	トリヨードチロニン低値
ＧＰＴ５４	ＡＬＴ高値
膀胱悪性腫瘍（Ｔａ）（ＴＵＲ－ＢＴ施行）	膀胱の悪性新生物
胆嚢のう胞	胆嚢嚢胞
ｗＡＭＤ（左眼）	湿性加齢黄斑変性
予防（制吐）	嘔吐予防
タン白尿	蛋白尿
自己免疫性肝炎の疑い	自己免疫性肝炎
左手指切断	指切断
治癒・切除不能な進行・再発の結腸・直腸癌	再発結腸直腸癌
左小脳梗塞	小脳梗塞
めまい／ふらつき	浮動性めまい
幼少時に下痢発熱で入院その時輸血を受ける【発熱】	発熱
他院より死亡の連絡があったのみで詳細不明。	死亡ＮＯＳ
胆管癌術後	胆管癌
ＣＲＢＢＢ	完全右脚ブロック
皮膚症状（硬結）	皮膚硬結
右網膜中心静閉塞症	網膜中心静脈閉塞
不整脈の悪化	不整脈
死亡【肺癌】	肺癌
糖尿病神経障害	糖尿病性ニューロパチー
外陰部のかゆみ	外陰部そう痒
肩凝り症	肩こり
第２色盲	２型２色覚
術前・術後滅菌	感染予防
軽労作で増強する動悸症状	動悸増悪
ＯＳＡＳ	閉塞性睡眠時無呼吸症候群
滲出型加齢黄斑変性（ＡＭＤ）	滲出型加齢黄斑変性
筋肉転移	筋転移
ＡＭＹ上昇	アミラーゼ増加
包皮感染	感染性亀頭包皮炎
アレルギーNOS	アレルギーＮＯＳ
Ｓ状結腸癌手術	Ｓ状結腸の悪性新生物
Ｈｃｔ低値	ヘマトクリット低値
発疹（顔面、上肢、下肢）	発疹
手足皮膚症状（抗癌試験）	皮膚症状
皮疹（頭）	限局性発疹
良性頭位性眼振	眼振
尾状核出血	大脳基底核出血
胆石症（５４才時手術）	胆石摘出
プリモビストＥＯＢを投与したが造影効果が弱い	薬効不十分
時に不整脈	不整脈
乳房緊満（両側）	乳房緊満
右片麻痺（不全）	不全片麻痺（右）
両下肢しびれ感	下肢のしびれ感
過敏症素因（花粉症）	花粉症
動脈血二酸化炭素分圧上昇	炭酸ガス分圧上昇
シャント部穿刺痛【静脈穿刺部痛】	静脈穿刺部位疼痛
深部静脈血栓塞栓症	深部静脈血栓症
体幹・下肢筋力低下	筋力低下
大腸がん（Ｏｐｅ後再発なし）	大腸癌
腸管の蠕動運動の低下	腸管蠕動低下
第13因子欠乏症	第ＸＩＩＩ因子欠乏症
頚のはり	頚部硬直
右腎癌、手術日（平成１２年１２月２７日）	腎癌
体がカーッと暑くなる	熱感
腰筋痛症	局所筋肉痛
血管外性細胞腫【血管周囲細胞腫】	血管周囲細胞腫
白内障手術（IOL）(右眼)	白内障手術
ＶｉｔＣ欠乏症	ビタミンＣ欠乏
ｉ－ＰＴＨ↑	ＰＴＨ増加
変形性膝関節症による左膝痛	無し
中心性漿液性脈絡膜網膜症	中心性漿液性網膜症
手術の実施（ポリペクトミー）	ポリープ切除
皮膚のかゆみと発疹	そう痒性皮疹
左腎嚢胞内出血	腎嚢胞出血
月経前症候群の予防のためにヤーズを処方された	適応外使用
生殖器・尿路:膀胱癌術後	膀胱癌
父：高血圧	心血管障害の家族歴
こむら返り(腓腹筋痙攣)	こむら返り
光感作されたＮＯＳ	光感作された
左下腿血栓性静脈炎	下肢血栓性静脈炎
帝王切開術３回	帝王切開
足がふらつく	無し
脳静脈血栓症（CVST）	大脳静脈血栓症
右下肢浮腫増悪	末梢性浮腫増悪
ポリペクトミー	ポリープ切除
胃癌（Ｓｔａｇｅ２ｃ）幽門側胃切除	胃癌第２期
喉から血が出た	咽頭出血
食道の違和感	食道不快感
先天性胆道拡張症	先天性胆管拡張症
リンの値が上がってきた	リン酸塩増加
体が暖くなってくる感じ	温感
糖尿病２型インシュリン投与	２型糖尿病
右網膜剥離（術後）	網膜剥離修復
ａｐｐｅｔｉｔｅｌｏｓｓ	食欲低下
左副腎腫瘍摘出	副腎新生物
緑膿菌菌血症	シュードモナス性菌血症
癌性疼痛の悪化	癌疼痛
卵母細胞提供者	卵子提供者
ビリルビン↑	ビリルビン増加
１才背部熱傷	背部熱傷、程度不明（部位を限定しない）
腰部椎間板ヘルニア手術	脱出椎間板修復
背部放射線皮膚炎	放射線性皮膚炎
子宮体部明細胞腺癌	子宮癌
胃ポリープ切除術	胃ポリープ切除
マイクロブリーディング（左前頭葉）	脳微小出血
紅潮	潮紅
残肝部位からの出血	肝出血
子宮筋腫（子宮摘出）	筋腫核出術
趾紅斑	下腿紅斑
足趾真菌症	皮膚真菌症
脱出（紛失）【IUD脱出】	ＩＵＤ脱出
人工心肺	心肺バイパス
ふくらはぎがつった	こむら返り
発赤（顔）	顔面発赤
右前頭葉血腫	脳血腫
心房内血栓症	心房血栓症
陳旧性脳出血	脳出血
皮下脂肪織炎	脂肪織炎
酔った感じ	酩酊感
腰椎狭窄	腰部脊柱管狭窄症
ミレーナ挿入後の頻繁な痙攣	下腹部仙痛
慢性歯周炎の悪化	慢性歯周炎
右腎腫瘍術後	腎腫瘍摘除
喀痰分泌増加	喀痰増加
てんかん大発作	大発作てんかん
下肢ツリ【筋痙攣】	下肢痙攣
皮疹（手、足、頭皮）	皮疹
リパーゼ・アミラーゼ高値	無し
鼻血（微量）	鼻出血
唇の皮が毎日むける	口唇上皮剥脱
原発性肺がん	肺癌
卵巣子宮内膜症嚢胞	卵巣子宮内膜症
シャント閉塞時	シャント閉塞
ｐｏｓｔＰＣＩ【経皮的冠動脈形成術】	経皮的冠動脈形成
口腔内アフタ	口腔アフタ
持続的尿潜血	尿潜血陽性
高Ｃａ血症疑いにて造影ＣＴ検査	高カルシウム血症
腫瘍内出血	腫瘍出血
嘔気胃部不快感	無し
サイログロブリン値増加	サイログロブリン増加
血圧値上昇	血圧上昇
左橈骨遠位端粉砕骨折	橈骨骨折
過敏腸症	過敏性腸症候群
２００８２／２０副腎摘除	副腎摘除
骨盤内局所転移	骨盤転移
舌の違和感	舌の異常な感覚
左尿管転移	尿管癌
糖尿病（投薬なし）	糖尿病
右卵巣腫瘍摘出（良性腫瘍）	卵巣良性腫瘍
ＣＫ－ＭＢ上昇	クレアチンキナーゼＭＢ増加
内服３０分後嘔吐	嘔吐
白内症	白内障
左口角膨隆感	口唇腫脹
乳腺のう胞症	乳房嚢胞
胃の痛み	胃痛
Ｃｌ低下	クロール減少
尿蛋白強陽性化	尿蛋白陽性
慢性腎臓症	慢性腎臓病
左足第３趾痛	足指痛
全身皮膚掻痒	全身性そう痒
好酸球値異常	好酸球数異常
多発性出血性脳梗塞	出血性脳梗塞
高血圧（６６才）	高血圧
細胞診のための出血	処置による出血
右網膜中心静脈閉塞	網膜中心静脈閉塞
右半身しびれ	片側感覚鈍麻
肩が痛い	肩痛
胸部大動脈瘤ステント	胸部大動脈瘤修復
中性脂肪値上昇	トリグリセリド増加
猫アレルギー	ネコアレルギー
急性胃腸炎の疑い	急性胃腸炎
ＴＢｉｌ増加	総ビリルビン増加
悪寒戦慄	悪寒
低Ｆｅ血症	低鉄血症
口唇炎（口角が切れた）	口角口唇炎
虚血性心疾患(詳細不明1996年)	虚血性心疾患
低カリウム性アルカローシス	低カリウム血性アルカローシス
左第２足指皮膚潰瘍	皮膚潰瘍
両膝変形性関節症	変形性膝関節症
膀胱Ｋ	無し
非Ｂ非Ｃ型肝硬変	肝硬変
亜鉛欠乏症	亜鉛欠乏
一過性の頭痛	一過性頭痛
腹部大動脈瘤切迫破裂	腹部大動脈瘤、破裂性
前立腺癌の為の化学療法	前立腺癌
左尺骨の複雑骨折	尺骨骨折
顔面皮膚乾燥	皮膚乾燥
肝動脈化学塞栓療法（ＴＡＣＥ）	経カテーテル動脈化学塞栓術
粉瘤二次感染	感染性粉瘤
大腿静脈血栓（産褥5日目）	産褥期静脈血栓症
より浮腫みやすくなった	浮腫
心原性出血性脳塞栓症	出血性脳梗塞
ペースメーカ	心臓ペースメーカー挿入
膿疱（手、足）	膿疱性皮疹
ワーファリンとの相互作用	薬物相互作用
高クロール【高クロール血症】	高クロール血症
好中球桿状球核球増多	杆状核好中球数増加
下肢静脈ＣＴ	ＣＴスキャン
脳梗塞（右視床）	視床梗塞
胃潰瘍(術後）	胃潰瘍外科手術
脱毛は有害事象とせず	無し
右大腿部腫瘤	下肢腫瘤
肝不全症状	肝不全
梗塞【詳細不明】	梗塞ＮＯＳ
血栓・塞栓症	血栓塞栓症
両)びまん性表層角膜炎	びまん性表層角膜炎
薬剤性肺障害	肺障害
透析困難症【冷汗】	冷汗
喘息妹	家族性危険因子
ＤＭ性末梢神経障害【糖尿病性末梢神経障害】	糖尿病性末梢性ニューロパチー
両足底痛	足部痛
急性骨髄性白血病（ＣＲ）	急性骨髄性白血病
全身倦怠感	全身倦怠
胸壁腫瘤摘出	胸部腫瘤ＮＯＳ
切除不能肝細胞癌	切除不能な肝細胞癌
プラビックスとの相互作用	薬物相互作用
両腎のう胞(後天性腎嚢胞である。)	後天性腎嚢胞
骨盤骨折後遺症	骨盤骨折
45才右乳癌手術	乳癌
腰椎椎間板ヘルニア術后	脱出椎間板修復
貧血の悪化	貧血増悪
２０１０、１２／１１不眠症あり	不眠症
前腕皮下出血	皮下出血
消化管間質腫瘍（食道）	消化管間質性腫瘍
神経障害	ニューロパチー
ＰＴの延長	プロトロンビン時間延長
２００４年Ｓ状結腸癌	Ｓ状結腸の悪性新生物
造影ＰＥＴ／ＣＴ	ＰＥＴ／ＣＴスキャン
無脾症	無脾
低Ｎａ血症（ＳＩＡＤＨ）	無し
子宮内膜症手術（卵巣）	卵巣子宮内膜症
左上下肢打撲症	四肢挫傷
白内障の手術	白内障手術
腸間膜動脈閉塞、消化管穿孔	無し
血栓	血栓症
白血球減少、好中球減少	無し
胃粘膜組織球症	組織球症
骨粗鬆症に伴う疼痛	無し
閉塞性イレウス	機械的イレウス
右冠動脈ＰＴＣＡステント留置	冠動脈ステント装着
左胸部打撲	胸の挫傷
低Ｃａ	カルシウム低値
ＮＨ３上昇	アンモニア増加
爪白癖	爪白癬
脂漏性湿疹（下肢、背中）	脂漏性湿疹
左耳漏	耳漏
中耳炎の悪化	中耳炎
遠位橈尺関節症	骨関節症
胃潰瘍から出血	出血性胃潰瘍
神経因性膀胱前立肥大症	無し
左精巣腫瘍（高位精巣摘除術後）	精巣新生物
結滞、ふらつき	無し
カンジダ膣炎	腟カンジダ
左頚動脈血栓症	頚動脈血栓症
前回悪化したため【RPE（網膜色素上皮）隆起増大】	網膜色素上皮変性
右下顎下部膿瘍	顎膿瘍
左耳の重い感じ	耳不快感
ＣＫ－ＭＢの上昇	クレアチンキナーゼＭＢ増加
外傷性肋骨骨折	外傷性骨折
左中大脳動脈未破裂脳動脈瘤	中大脳動脈瘤
胃炎の悪化	胃炎増悪
２００８年胃癌	胃癌
冠動脈バイパス手術	冠動脈バイパス
結膜炎（左眼）	結膜炎
屈折矯正手術	視力矯正手術
不整脈（しめつけ感、胸部不快感、重苦しさ、動悸）	不整脈
陽子線治療	放射線療法
右肝癌	肝癌
慢性じんま疹	慢性蕁麻疹
腫瘍融解症候群	腫瘍崩壊症候群
右踵部裂傷	足裂傷
嘔吐下痢症【下痢症】	下痢
ヨードアレルギー	ヨウ素アレルギー
脊髄炎（感染なし）	非感染性脊髄炎
血小板数増多	血小板数増加
胸部、背中のかゆみ	そう痒
右手背部皮下出血	皮下出血
肛門拡張ＮＯＳ	肛門拡張
ウイリアムス症候群	ウィリアムス症候群
二次性副甲状腺機能亢進の悪化	続発性副甲状腺機能亢進症
分化型甲状腺癌（乳頭癌）	乳頭様甲状腺癌
右）結膜炎	結膜炎
手足のつり【筋痙攣】	四肢痙攣
死亡【詳細不明】	死亡ＮＯＳ
ｇａｓｔｒｉｃ ｘａｎｔｈｏｍａ	胃黄色腫
糖尿病（インスリン治療中）	糖尿病
しぶり腹	直腸しぶり
膵頭部仮性嚢胞疑い	膵仮性嚢胞
腎盂腎炎（慢性）	慢性腎盂腎炎
分化型甲状腺癌（低分化癌）	甲状腺低分化癌
心筋梗塞（ＰＣＩ後）	心筋梗塞
足踵角化症	角化症
左肩挙上時の疼痛	肩痛
むかつき	悪心
軽度肝障害	肝障害
認痴症	認知症
微量タンパク尿	蛋白尿
左手関節骨折	手骨折
顔面膨隆疹	限局性蕁麻疹
仮性膵のう胞	膵仮性嚢胞
おむつかぶれ	おむつ皮膚炎
脳梗塞歴あり	脳梗塞
発赤の悪化	発赤
膵頭部嚢胞性腫瘤	膵嚢胞
右肘内出血【皮下出血】	皮下出血
鉄欠乏性貧血進行進行胃がん	無し
ムカムカ感	悪心
血液学的異常	無し
消化器:便秘	便秘
ボディスキャンで筋肉量の増加がなく、脂肪量が上がり続けている	脂肪組織増加
ＳＳＳ	無し
のどのかわき	咽頭乾燥
本態性高血圧	本態性高血圧症
左腎臓摘出術施行	腎摘除
両）増殖前糖尿病網膜症	前増殖糖尿病網膜症
重複症候群	オーバーラップ症候群
高血圧（大動脈解離）	無し
右肘皮下出血	皮下出血
術後疼痛緩和	術後鎮痛法
胃悪性リンパ腫	悪性リンパ腫
ｍＣＮＶ（右眼）	近視性脈絡膜血管新生
末梢神経症	末梢性ニューロパチー
血便（わずかな出血）	血便
組織腫脹ＮＯＳ	組織腫脹
腹部-脾臓-脾血管腫	脾血管腫
女性更年期状態	更年期
尿蛋白高値	尿蛋白増加
敗血症ショック	敗血症性ショック
大腿部膨疹	膨疹
一過性ネフローゼ症候群	ネフローゼ症候群
生理前のお腹の張り	腹部膨満
核崩壊ＮＯＳ	核崩壊
痛風による？	痛風
ＧＰＴ値高値	ＧＰＴ増加
咽頭腫瘍	咽頭新生物
体中が痛い	全身性疼痛
冷え症【末梢冷感】	末梢冷感
ＣＯ中毒	一酸化炭素中毒
嘔気＋複視	無し
大腸癌43歳手術、詳細不明	大腸癌
裂離骨折	剥離骨折
二次性副甲状腺機能亢進症コントロール不良	続発性副甲状腺機能亢進症
糖尿病黄斑浮腫（右眼）	糖尿病性黄斑浮腫
右下肢麻痺	下肢麻痺
高血圧（オルメティック１０ｍｇ×３Ｔ）	高血圧
投与に伴う反応ＮＯＳ	投与に伴う反応
左腰背部痛	背部痛
脈拍が上昇	脈拍増加
左足皮膚潰瘍	皮膚潰瘍
食道癌に対し化学療法	食道癌
挫傷による下肢の出血	外傷性出血
脳動脈瘤（左中大脳動脈）	中大脳動脈瘤
治癒切除不能な進行・再発の結腸直腸癌	再発結腸直腸癌
鬱血性心不全	うっ血性心不全
下行結腸切除	結腸切除
乾燥性角結膜炎	乾性角結膜炎
内視鏡的結腸粘膜切除術	結腸手術
右完全片麻痺	右片麻痺
歯周病の悪化	歯周病
総胆管結石症術後	胆管内胆石除去
子宮筋腫全摘術後	筋腫核出術
膵体部腫瘍	膵新生物
難聴傾向	難聴
左上腕骨顆部開放骨折	開放骨折－上腕骨
骨盤-粘液性嚢胞腺腫	腺腫
四肢・血管・その他:慢性関節リウマチ	関節リウマチ
上顎、下顎骨からの出血	骨出血
左膝血腫	関節血腫
Ｕ－アミラーゼ上昇	尿中アミラーゼ増加
左耳垢塞栓	耳垢栓塞
左足が痛い	足部痛
子宮頸部細菌感染	感染性子宮頚管炎
管状腺腫	腺腫
大型脳底動脈本幹部動脈瘤	脳底動脈瘤
自覚的な暗点拡大	暗点
子供が誤服用	子供の偶発的薬剤摂取
ＨＬの悪化	無し
ＴＧが高い	トリグリセリド高値
関節痛（右膝、右股関節	関節痛
膣の掻痒	腟そう痒
左ソケイ部リンパ節転移	リンパ節転移
冷凍療法	凍結療法
